symbol,entrez,BRO-score (product),BRO-score (ABA6-2013),BRO-score (Kang-2011),cell-cell signaling,synaptic transmission,neuron differentiation,neuron projection development,generation of neurons,axon development,neuron development
KCNIP3,30818,0.355048,0.666707,0.53254,,,,,,,
SHC3,53358,0.35425,0.58122,0.609494,X,X,,,,,
NLK,51701,0.353651,0.532578,0.664037,,,,,,,
CCDC3,83643,0.351023,0.583409,0.601676,,,,,,,
ACTN2,88,0.350505,0.583353,0.600845,X,X,,,,,
DGKB,1607,0.350084,0.636756,0.549794,,,,,,,
ATRNL1,26033,0.345788,0.582991,0.593128,,,,,,,
KCNS2,3788,0.345749,0.547582,0.631411,X,X,,,,,
C8orf46,254778,0.344717,0.556084,0.619901,,,,,,,
DLGAP2,9228,0.343805,0.641472,0.535963,X,X,,,,,
MEF2C,4208,0.341884,0.502181,0.680799,X,X,X,X,X,,X
BCL11B,64919,0.341326,0.635931,0.536734,,,X,X,X,X,X
ADCY2,108,0.340163,0.561361,0.605961,X,X,,,,,
CACNG3,10368,0.339701,0.64107,0.529896,X,X,,,,,
TBR1,10716,0.337392,0.501855,0.672291,,,X,X,X,X,X
MATK,4145,0.334424,0.610134,0.548116,,,,,,,
BCL11A,53335,0.333857,0.622652,0.536186,,,X,X,X,X,X
FOXG1,2290,0.333019,0.644042,0.517076,,,X,X,X,X,X
KCNV1,27012,0.331438,0.660362,0.501903,X,X,,,,,
FLRT2,23768,0.330041,0.570198,0.578818,,,X,X,X,X,X
LHX6,26468,0.329345,0.674423,0.488336,,,X,,X,,X
CHRM3,1131,0.328829,0.642334,0.511929,X,X,,,,,
PRKCB,5579,0.328669,0.549208,0.598442,X,X,,,,,
AGBL4,84871,0.324992,0.609825,0.532926,,,,,,,
TSHZ3,57616,0.324045,0.528766,0.612832,,,,,,,
RND1,27289,0.323031,0.492237,0.65625,,,X,X,X,X,X
NETO1,81832,0.321709,0.599432,0.53669,X,X,,,,,
SLITRK1,114798,0.320983,0.605467,0.530141,,,X,X,X,X,X
SEMA5B,54437,0.320519,0.613865,0.522132,,,,,,,
THRB,7068,0.318896,0.537477,0.593319,,,,,,,
TESPA1,9840,0.318281,0.456482,0.697248,,,,,,,
KCNC2,3747,0.317156,0.558762,0.567605,X,X,,,,,
PLCB4,5332,0.316568,0.511824,0.618508,,,,,,,
RSPO2,340419,0.31502,0.53654,0.587132,,,,,,,
ICAM5,7087,0.314237,0.656534,0.47863,,,,,,,
SYT16,83851,0.31276,0.587793,0.532092,,,,,,,
CHD5,26038,0.31265,0.562115,0.556202,,,X,,X,,
CHRM1,1128,0.311902,0.613588,0.508326,X,X,,,,,
LRRTM4,80059,0.311267,0.56388,0.552009,,,,,,,
GFRA2,2675,0.311203,0.522257,0.595881,,,,,,,
TMEM178A,130733,0.311136,0.53295,0.583799,,,,,,,
CADPS2,93664,0.311054,0.499415,0.622837,X,X,,,,,
RORB,6096,0.310405,0.473294,0.655839,,,X,,X,,X
ZIC1,7545,0.30854,0.544234,0.566925,,,,,,,
ZNF238,10472,0.308223,0.5358,0.575259,,,,,,,
ACTN1,87,0.306719,0.565569,0.54232,,,,,,,
CNIH3,149111,0.306088,0.597268,0.512481,X,X,,,,,
PVRL3,25945,0.305714,0.586535,0.521221,,,,,,,
SATB1,6304,0.305204,0.461517,0.661305,,,,,,,
KCNS1,3787,0.30476,0.519503,0.586637,X,X,,,,,
DLX1,1745,0.304379,0.597744,0.509212,,,X,,X,,
CACNA2D3,55799,0.304279,0.539627,0.56387,,,,,,,
KCNH3,23416,0.304272,0.550409,0.552811,X,X,,,,,
VIP,7432,0.303475,0.561053,0.540902,,,,,,,
FHL2,2274,0.302986,0.545671,0.555255,,,,,,,
ZIC4,84107,0.302395,0.616875,0.490204,,,,,,,
ZFHX3,463,0.302352,0.549677,0.550053,,,X,,X,,
CDH13,1012,0.301692,0.514276,0.586635,,,,,,,
RFTN1,23180,0.301656,0.513336,0.587638,,,,,,,
FAM19A1,407738,0.300022,0.530775,0.565252,,,,,,,
SERPINI1,5274,0.298155,0.504833,0.590602,,,,,,,
MKL2,57496,0.297282,0.603631,0.492489,,,,,,,
SIPA1L2,57568,0.296802,0.502065,0.591161,,,,,,,
FAM19A2,338811,0.296191,0.551515,0.53705,,,,,,,
AK5,26289,0.296042,0.641421,0.461541,,,,,,,
B3GALT2,8707,0.295708,0.554846,0.532955,,,,,,,
LMO3,55885,0.294584,0.606077,0.486051,,,,,,,
NCALD,83988,0.294575,0.573257,0.513861,X,X,,,,,
HS3ST2,9956,0.294554,0.543839,0.54162,,,,,,,
ST6GALNAC5,81849,0.292632,0.542573,0.539342,,,,,,,
PLCB1,23236,0.29205,0.621259,0.470094,X,X,,,,,
EMX1,2016,0.290519,0.602014,0.482578,,,X,X,X,,X
SORCS1,114815,0.289254,0.506538,0.571041,,,,,,,
KCNG3,170850,0.289088,0.545422,0.530026,X,X,,,,,
KCNN1,3780,0.288214,0.510499,0.564574,X,X,,,,,
CHRNA3,1136,0.287818,0.502759,0.572477,X,X,X,X,X,,X
MYT1,4661,0.287166,0.550249,0.521883,,,,,,,
RIMBP2,23504,0.286901,0.570357,0.50302,,,,,,,
CPNE4,131034,0.285414,0.597183,0.477935,,,,,,,
TMEM132D,121256,0.284569,0.494029,0.576017,,,,,,,
FAM211A,388341,0.283356,0.609506,0.464894,,,,,,,
RNF152,220441,0.283215,0.55527,0.510049,,,,,,,
POU6F2,11281,0.282598,0.449024,0.62936,,,,,,,
CTXN1,404217,0.281858,0.564615,0.499204,,,,,,,
LNX1,84708,0.281796,0.529674,0.532018,,,,,,,
KCNJ4,3761,0.281677,0.544506,0.517306,X,X,,,,,
EPHB6,2051,0.281556,0.481957,0.584194,X,,,,,,
RXFP1,59350,0.280551,0.457883,0.612715,,,,,,,
EGR3,1960,0.280431,0.608693,0.46071,X,X,,,,,
CAMK1G,57172,0.280359,0.549061,0.510617,,,,,,,
ZIC3,7547,0.27821,0.509548,0.545994,,,,,,,
KHDRBS3,10656,0.277954,0.455968,0.60959,,,,,,,
SEMA4G,57715,0.277589,0.558535,0.496994,,,,,,,
CDH23,64072,0.276645,0.512914,0.539359,,,X,,X,,X
DRP2,1821,0.275639,0.529476,0.520588,,,,,,,
PTPRT,11122,0.275169,0.462352,0.59515,,,,,,,
FAM5B,57795,0.273909,0.578931,0.473129,,,,,,,
SLIT1,6585,0.273339,0.528795,0.516909,X,X,X,X,X,X,X
BAI2,576,0.272794,0.58331,0.467666,,,,,,,
CLSTN2,64084,0.27177,0.500128,0.543401,,,,,,,
PART1,25859,0.271392,0.451305,0.601348,,,,,,,
LAMP5,24141,0.27117,0.460966,0.588265,,,,,,,
LRRC7,57554,0.271053,0.600829,0.451131,,,X,X,X,,X
ETS2,2114,0.270513,0.51863,0.521591,,,,,,,
CBLN2,147381,0.270245,0.439985,0.614213,X,X,,,,,
LMO7,4008,0.270177,0.50908,0.530715,,,,,,,
PTPRK,5796,0.270079,0.466937,0.578405,,,X,X,X,,X
DRD1,1812,0.269795,0.527736,0.51123,X,X,X,,X,,X
C2orf55,343990,0.26904,0.540974,0.497325,,,,,,,
TPD52L1,7164,0.268937,0.508302,0.529089,,,,,,,
SYTL2,54843,0.268461,0.441188,0.608495,,,,,,,
DAO,1610,0.266503,0.570392,0.467227,,,,,,,
PCDH7,5099,0.265821,0.524813,0.506505,,,,,,,
OSBPL3,26031,0.265318,0.506696,0.523624,,,,,,,
MLIP,90523,0.264522,0.409421,0.646089,,,,,,,
SPARCL1,8404,0.263704,0.492573,0.53536,,,,,,,
KCTD17,79734,0.262779,0.565534,0.464657,,,,,,,
LRRC4C,57689,0.262367,0.53357,0.491721,,,X,X,X,X,X
MICAL2,9645,0.262344,0.485599,0.540247,,,,,,,
TESC,54997,0.261827,0.539222,0.485564,,,,,,,
ARHGAP32,9743,0.261339,0.481818,0.542403,,,,,,,
SLC17A6,57084,0.260836,0.515631,0.505858,X,X,,,,,
CHRD,8646,0.260687,0.542795,0.480269,,,,,,,
RCAN3,11123,0.258345,0.58032,0.445176,,,,,,,
PCSK1,5122,0.258309,0.481328,0.536659,X,,,,,,
KCNA4,3739,0.257353,0.51331,0.50136,X,X,,,,,
GRIA3,2892,0.256465,0.513687,0.499263,X,X,,,,,
GRM4,2914,0.256144,0.513725,0.498602,X,X,,,,,
WSCD2,9671,0.25569,0.490045,0.521768,,,,,,,
CABP1,9478,0.255489,0.451456,0.565922,,,,,,,
KCNH5,27133,0.254963,0.434743,0.586468,X,X,,,,,
PCDH8,5100,0.254094,0.533277,0.476477,X,X,,,,,
AKAP5,9495,0.253825,0.550197,0.461335,X,X,X,X,X,,X
MOXD1,26002,0.253775,0.599911,0.423021,,,,,,,
MYO5B,4645,0.253353,0.533139,0.475209,,,,,,,
NREP,9315,0.252885,0.514334,0.491675,,,X,X,X,X,X
PDE8B,8622,0.252668,0.506902,0.498456,X,,,,,,
MAB21L1,4081,0.251357,0.546591,0.459862,,,,,,,
CDH6,1004,0.250974,0.454064,0.552729,,,,,,,
DHRS13,147015,0.25069,0.554189,0.452354,,,,,,,
HS6ST3,266722,0.250016,0.533595,0.468549,,,,,,,
SYNE4,163183,0.249157,0.617739,0.403337,,,,,,,
FLT3,2322,0.248972,0.478213,0.520629,,,,,,,
CSMD1,64478,0.248896,0.495758,0.502053,,,,,,,
CHGA,1113,0.248723,0.43791,0.567978,,,,,,,
ARNT2,9915,0.248574,0.547001,0.45443,,,,,,,
KIAA1522,57648,0.247975,0.52379,0.473424,,,,,,,
OLFM1,10439,0.247714,0.501245,0.494197,,,,,X,,
MCHR2,84539,0.247097,0.387747,0.637265,,,,,,,
MEGF11,84465,0.246586,0.450238,0.54768,,,,,,,
NEFL,4747,0.245111,0.472727,0.518505,X,X,X,X,X,X,X
NEUROD6,63974,0.245088,0.483769,0.506623,,,,,,,
KIAA1324,57535,0.244959,0.476982,0.513561,,,,,,,
TC2N,123036,0.244573,0.436156,0.560747,,,,,,,
INADL,10207,0.243715,0.568054,0.429036,,,,,,,
ZDHHC22,283576,0.243077,0.425264,0.571591,,,,,,,
LPHN2,23266,0.242764,0.46373,0.523504,,,,,,,
TMEM241,85019,0.242712,0.515504,0.470825,,,,,,,
NECAB1,64168,0.242416,0.579003,0.418678,,,,,,,
C9orf91,203197,0.24178,0.460319,0.525245,,,,,,,
PTPN5,84867,0.240604,0.380514,0.632313,,,,,,,
ZFHX4,79776,0.240313,0.472395,0.508712,,,,,,,
R3HDM1,23518,0.240124,0.394489,0.608698,,,,,,,
SERTM1,400120,0.239474,0.485493,0.493259,,,,,,,
PELI2,57161,0.238594,0.515924,0.46246,,,,,,,
RASD2,23551,0.238572,0.460157,0.518457,X,X,,,,,
PALM2-AKAP2,445815,0.238059,0.547226,0.435029,,,,,,,
TAC1,6863,0.237824,0.551727,0.431053,X,X,,,,,
TAC3,6866,0.236528,0.627177,0.377131,,,,,,,
KCNK2,3776,0.23537,0.511161,0.460463,X,X,,,,,
EBF1,1879,0.235044,0.544107,0.431982,,,,,,,
NTN4,59277,0.234651,0.559766,0.419195,,,X,X,X,X,X
SALL2,6297,0.234583,0.499737,0.469413,,,,,,,
SMYD2,56950,0.234427,0.454259,0.516064,,,,,,,
KRT31,3881,0.234036,0.505779,0.462723,,,,,,,
PKIB,5570,0.234033,0.576433,0.406002,,,,,,,
HSPA12A,259217,0.233771,0.479086,0.487951,,,,,,,
LOC285696,285696,0.233181,0.458409,0.508674,,,,,,,
PPP1R17,10842,0.233175,0.462067,0.504634,,,,,,,
GABRA4,2557,0.233058,0.491006,0.474653,X,X,,,,,
NPY,4852,0.232996,0.6154,0.37861,X,X,X,X,X,,X
CCNG2,901,0.232848,0.528046,0.440961,,,,,,,
SEL1L3,23231,0.232292,0.51102,0.454564,,,,,,,
LOC150622,150622,0.231893,0.531195,0.436549,,,,,,,
CAMK2N1,55450,0.230964,0.508453,0.454248,,,,,,,
TMTC1,83857,0.230825,0.475086,0.485859,,,,,,,
SCN3B,55800,0.230596,0.518556,0.444689,X,,X,X,X,X,X
KCNB1,3745,0.230032,0.541388,0.424892,X,X,,,,,
IRX3,79191,0.229659,0.520796,0.440976,,,X,,X,,
KIAA1217,56243,0.229262,0.45444,0.504492,,,,,,,
STX1A,6804,0.22889,0.478717,0.478132,X,X,,,,,
CA12,771,0.227605,0.367152,0.61992,,,,,,,
CNTLN,54875,0.227158,0.520409,0.436499,,,,,,,
MAPK10,5602,0.226333,0.507705,0.445795,,,,,,,
KCNQ3,3786,0.225681,0.550019,0.410315,X,X,X,X,X,X,X
JAKMIP1,152789,0.225662,0.528461,0.427017,,,,,,,
MMD,23531,0.225576,0.559244,0.403359,,,,,,,
ATP2A3,489,0.225533,0.477329,0.47249,,,,,,,
RGS14,10636,0.225338,0.518487,0.434606,X,X,,,X,,
CDH4,1002,0.225136,0.459021,0.490469,,,X,X,X,X,X
FBXW7,55294,0.225113,0.423248,0.53187,,,,,,,
MUM1L1,139221,0.224474,0.51517,0.435728,,,,,,,
KHDRBS2,202559,0.224409,0.530701,0.422854,,,,,,,
PSD,5662,0.224254,0.5686,0.394397,,,X,,X,,
CRHBP,1393,0.223907,0.508043,0.440724,X,X,,,,,
SYTL5,94122,0.223809,0.464157,0.482185,,,,,,,
KCNAB2,8514,0.223752,0.48193,0.464282,X,X,,,,,
NELL1,4745,0.223465,0.461867,0.483829,,,,,,,
ZFPM2,23414,0.223388,0.471732,0.47355,,,,,,,
HTR2C,3358,0.223259,0.477914,0.467154,X,X,,,,,
PTPRO,5800,0.223221,0.4925,0.453242,,,X,X,X,X,X
CAP2,10486,0.222914,0.504226,0.442092,,,X,X,X,X,X
OTX2,5015,0.222694,0.402883,0.552752,,,X,X,X,X,X
RASAL2,9462,0.222506,0.559412,0.39775,,,,,,,
VWA5A,4013,0.222312,0.482222,0.461016,,,,,,,
DCLK1,9201,0.221556,0.476298,0.465163,,,X,X,X,X,X
NEUROD2,4761,0.221259,0.497004,0.445185,X,X,X,,X,,X
SOGA2,23255,0.220951,0.448727,0.492395,,,,,,,
KCNK1,3775,0.220718,0.431344,0.511699,X,X,,,,,
PEX5L,51555,0.220385,0.440778,0.49999,X,,,,,,
TSPAN18,90139,0.220128,0.3994,0.551147,,,,,,,
SLITRK6,84189,0.220096,0.408251,0.53912,,,X,X,X,X,X
CBLN1,869,0.220076,0.545139,0.403706,X,X,X,,X,,
STXBP6,29091,0.219819,0.515274,0.426605,,,,,,,
RNF122,79845,0.219396,0.54907,0.399578,,,,,,,
TOX,9760,0.218747,0.440573,0.496506,,,,,,,
SNCAIP,9627,0.218114,0.405095,0.538427,X,X,,,,,
CAMK4,814,0.217693,0.501459,0.434119,X,X,,,,,
CA8,767,0.217389,0.480015,0.45288,,,,,,,
NELL2,4753,0.217213,0.446822,0.48613,,,,,,,
RAB37,326624,0.216668,0.404406,0.535768,,,,,,,
NUAK1,9891,0.216429,0.382589,0.565696,,,,,,,
NDFIP2,54602,0.21621,0.504088,0.428913,,,,,,,
KCTD1,284252,0.215808,0.508721,0.424216,,,,,,,
OPN3,23596,0.215708,0.448698,0.480741,,,,,,,
SCG2,7857,0.215656,0.473337,0.455608,,,,,,,
FAM212B,55924,0.21546,0.46663,0.461737,,,,,,,
FOXP1,27086,0.21533,0.481516,0.447193,,,,,,,
SLC17A7,57030,0.215291,0.450386,0.478015,X,X,,,,,
EFHD2,79180,0.215279,0.445861,0.482838,,,,,,,
ADRBK2,157,0.21496,0.473508,0.453974,,,,,,,
PDE1B,5153,0.214834,0.429222,0.500519,X,X,,,,,
VSTM2A,222008,0.214611,0.427687,0.501793,,,,,,,
CDC42SE2,56990,0.214578,0.450398,0.47642,,,,,,,
PDE3A,5139,0.214478,0.356718,0.601252,,,,,,,
LRFN5,145581,0.214351,0.404985,0.529283,,,,,,,
PKNOX2,63876,0.214089,0.419543,0.510291,,,,,,,
FZD7,8324,0.213885,0.425603,0.502545,,,X,X,X,X,X
FAM46A,55603,0.213602,0.520839,0.410112,,,,,,,
PPFIBP1,8496,0.213285,0.434446,0.490936,,,,,,,
DCX,1641,0.213252,0.498488,0.427796,,,X,X,X,X,X
SLC44A5,204962,0.213014,0.517817,0.411368,,,,,,,
LY86-AS1,285780,0.212823,0.472351,0.450562,,,,,,,
TRIM36,55521,0.212765,0.478812,0.444359,,,,,,,
PRKG2,5593,0.212454,0.422081,0.503349,,,,,,,
DENND3,22898,0.211976,0.547731,0.387008,,,,,,,
GNAL,2774,0.211795,0.463074,0.457367,X,X,,,,,
ARF3,377,0.211634,0.522026,0.40541,,,,,,,
ZFAND4,93550,0.211388,0.463223,0.456342,,,,,,,
SLIT2,9353,0.211311,0.468708,0.450836,,,X,X,X,X,X
STAT6,6778,0.211213,0.486446,0.434196,,,,,,,
GCNT4,51301,0.210922,0.402756,0.523696,,,,,,,
CPNE7,27132,0.210653,0.478483,0.440252,,,,,,,
SHF,90525,0.210298,0.482852,0.435532,,,,,,,
LINGO1,84894,0.209887,0.507973,0.413185,,,X,X,X,X,X
PRDM8,56978,0.209835,0.466054,0.450238,,,X,X,X,X,X
DIAPH2,1730,0.209197,0.386459,0.541317,,,,,,,
PDE9A,5152,0.208483,0.376535,0.553688,,,,,,,
LOC158696,158696,0.208404,0.540743,0.385403,,,,,,,
PGM2L1,283209,0.208329,0.49668,0.419444,,,,,,,
INPP5A,3632,0.208243,0.395409,0.526652,,,,,,,
CAMKV,79012,0.208036,0.547127,0.380233,,,,,,,
GRID2,2895,0.206635,0.501451,0.412074,X,X,X,X,X,,X
CSGALNACT1,55790,0.206201,0.537649,0.383523,,,,,,,
SERPINF1,5176,0.205741,0.465786,0.441708,,,X,X,X,,X
SSTR1,6751,0.204739,0.480831,0.425802,X,X,,,,,
CHML,1122,0.204399,0.383209,0.533387,,,,,,,
LEMD1,93273,0.204013,0.469742,0.434308,,,,,,,
LIPG,9388,0.204003,0.38039,0.536299,,,,,,,
DLC1,10395,0.202188,0.461618,0.437999,,,,,,,
CIT,11113,0.202127,0.398966,0.506628,,,X,X,X,,X
KLHDC8A,55220,0.202006,0.386267,0.522971,,,,,,,
FAM49A,81553,0.201961,0.551374,0.366287,,,,,,,
PRICKLE1,144165,0.201957,0.482159,0.418858,,,,,,,
LRCH1,23143,0.20188,0.45349,0.44517,,,,,,,
DLGAP1,9229,0.201742,0.409968,0.492093,X,X,,,,,
OSBPL10,114884,0.201691,0.434813,0.463857,,,,,,,
KCNB2,9312,0.201431,0.482006,0.417901,X,X,,,,,
ATCAY,85300,0.201114,0.443857,0.453105,,,X,X,X,,X
FRAS1,80144,0.200911,0.42715,0.470352,,,,,,,
C14orf162,56936,0.200836,0.514515,0.390341,,,,,,,
DPP10,57628,0.199703,0.412688,0.483909,,,,,,,
HPCA,3208,0.199328,0.331308,0.601639,,,,,,,
HRH2,3274,0.198506,0.490567,0.404645,X,X,,,,,
EML1,2009,0.19849,0.495129,0.400885,,,,,X,,
PGAM2,5224,0.198338,0.506287,0.39175,,,,,,,
EYA1,2138,0.19825,0.426995,0.464292,,,X,,X,,
ARHGEF10L,55160,0.198204,0.439907,0.450559,,,,,,,
BSPRY,54836,0.19772,0.400412,0.493792,,,,,,,
PTPN3,5774,0.197288,0.436671,0.451801,,,,,,,
SEMA3A,10371,0.196915,0.35646,0.552418,,,X,X,X,X,X
TOX2,84969,0.196578,0.52602,0.373708,,,,,,,
DIRAS3,9077,0.195845,0.423267,0.462698,,,,,,,
KLF5,688,0.195714,0.436315,0.448562,,,,,,,
CTNNA2,1496,0.19561,0.474593,0.412163,X,X,X,X,X,X,X
RAB40B,10966,0.194559,0.417636,0.465858,,,,,,,
FXYD7,53822,0.194559,0.541284,0.359439,,,,,,,
CACNB1,782,0.194436,0.496106,0.391923,,,X,X,X,X,X
CNTNAP2,26047,0.194086,0.446797,0.434395,,,X,X,X,,X
ABHD12B,145447,0.19387,0.429646,0.451232,,,,,,,
MGAT5B,146664,0.193794,0.448309,0.432277,,,,,,,
BASP1,10409,0.193706,0.507184,0.381924,,,,,,,
GPRIN3,285513,0.19358,0.409273,0.472985,,,,,,,
RBM24,221662,0.193573,0.471653,0.410413,,,,,,,
DCC,1630,0.193387,0.327052,0.591303,,,X,X,X,X,X
RASAL1,8437,0.192553,0.523071,0.36812,,,,,,,
TGFBR1,7046,0.192452,0.434227,0.443206,,,X,,X,,
LRRTM1,347730,0.192238,0.496226,0.387401,X,X,,,,,
SYT5,6861,0.192142,0.56134,0.342291,X,X,,,,,
GNG13,51764,0.191541,0.431095,0.444313,,,,,,,
NPY5R,4889,0.190717,0.502253,0.379723,X,X,,,,,
AHNAK2,113146,0.190477,0.369755,0.515144,,,,,,,
GPR88,54112,0.190464,0.451149,0.422176,,,,,,,
ETV1,2115,0.190416,0.505911,0.376382,,,X,X,X,X,X
BEND5,79656,0.190405,0.524231,0.363209,,,,,,,
MCTP1,79772,0.190311,0.429974,0.44261,,,,,,,
BCAT1,586,0.189735,0.46713,0.406172,,,,,,,
PRICKLE2,166336,0.189665,0.500312,0.379094,,,X,X,X,,X
CECR2,27443,0.189536,0.442297,0.428527,,,X,,X,,X
CXCL14,9547,0.189398,0.479098,0.395322,X,,,,,,
HERC6,55008,0.189242,0.441933,0.428215,,,,,,,
EPB41,2035,0.188366,0.46154,0.408124,,,,,,,
SHROOM2,357,0.18828,0.443088,0.424927,,,,,,,
CACNA1E,777,0.187661,0.373931,0.50186,X,X,,,,,
NTNG1,22854,0.187631,0.385883,0.486239,,,X,X,X,X,X
WLS,79971,0.187589,0.393352,0.4769,,,,,,,
TMEM196,256130,0.187574,0.415801,0.451114,,,,,,,
HRH1,3269,0.187559,0.58321,0.321597,X,X,,,,,
ATP8A1,10396,0.186822,0.378761,0.493244,,,,,,,
KCNMA1,3778,0.186675,0.438762,0.425458,X,X,X,,X,,
GRIA2,2891,0.186624,0.406483,0.459117,X,X,,,,,
TIAM1,7074,0.18635,0.403567,0.461758,,,X,X,X,X,X
CELF1,10658,0.186347,0.4301,0.433265,,,,,,,
PARM1,25849,0.186241,0.419013,0.444475,,,,,,,
ADRB1,153,0.186235,0.533479,0.349096,X,X,,,,,
NPTX2,4885,0.186235,0.571632,0.325795,X,X,,,,,
PCDH20,64881,0.186162,0.506575,0.367491,,,,,,,
GTDC1,79712,0.186075,0.487988,0.38131,,,,,,,
MST4,51765,0.185873,0.419888,0.442673,,,,,,,
DGAT2,84649,0.185743,0.499063,0.372183,,,,,,,
RARB,5915,0.185644,0.339013,0.547601,,,X,,X,,
MAPK13,5603,0.185444,0.350218,0.52951,,,,,,,
PCBP3,54039,0.185384,0.392835,0.471913,,,,,,,
PRKCA,5578,0.185361,0.402534,0.460484,X,X,X,X,X,X,X
MYO1B,4430,0.185338,0.433507,0.427531,,,,,,,
CCND2,894,0.185209,0.327681,0.565211,,,,,,,
ZIC2,7546,0.1852,0.417236,0.443874,,,X,X,X,X,X
GABRA2,2555,0.185114,0.473377,0.39105,X,X,,,,,
EFNB3,1949,0.185037,0.483488,0.382712,X,,X,X,X,X,X
CBLN4,140689,0.184767,0.399612,0.462366,,,,,,,
CRLF1,9244,0.184428,0.43719,0.421849,,,,,,,
IDS,3423,0.184373,0.465601,0.395989,,,,,,,
NCAM2,4685,0.184056,0.449908,0.409097,,,X,X,X,X,X
ERC2,26059,0.183443,0.382625,0.479433,,,,,,,
FABP3,2170,0.183378,0.466958,0.392708,,,,,,,
KCNF1,3754,0.18317,0.526497,0.347903,X,X,,,,,
PARP8,79668,0.183169,0.419947,0.436173,,,,,,,
CDH22,64405,0.183072,0.375902,0.487021,,,,,,,
TNFAIP8L3,388121,0.182924,0.474494,0.385515,,,,,,,
PCDH10,57575,0.182275,0.43143,0.42249,,,,,,,
COL25A1,84570,0.181918,0.375965,0.483869,,,,,,,
SMAD3,4088,0.181897,0.514803,0.353334,,,,,,,
RASL10A,10633,0.181799,0.603152,0.301415,,,,,,,
RAB27B,5874,0.181731,0.451703,0.402325,,,,,,,
NPTX1,4884,0.181596,0.387667,0.468434,X,X,X,X,X,X,X
PDZD2,23037,0.181195,0.386699,0.468568,,,,,,,
ABR,29,0.180824,0.493524,0.366393,,,,,,,
SHROOM3,57619,0.180779,0.399338,0.452697,,,,,,,
C15orf27,123591,0.180657,0.405062,0.445998,,,,,,,
SORBS2,8470,0.180573,0.402302,0.44885,,,,,,,
YJEFN3,374887,0.180391,0.439178,0.410747,,,,,,,
ZMAT4,79698,0.180353,0.427105,0.422268,,,,,,,
LY6H,4062,0.180223,0.495645,0.363612,,,,,,,
ADAMTS3,9508,0.18012,0.423562,0.425251,,,,,,,
PPFIA2,8499,0.179951,0.371255,0.484711,,,,,,,
CDKL5,6792,0.179839,0.554812,0.324145,,,X,X,X,X,X
RAB6B,51560,0.179742,0.410906,0.437429,,,,,,,
ABCC8,6833,0.179721,0.395419,0.454507,X,X,,,,,
EDEM2,55741,0.179685,0.480906,0.373639,,,,,,,
EHD1,10938,0.179593,0.505493,0.355282,,,X,X,X,,X
FGF14,2259,0.179494,0.476809,0.376449,X,X,,,,,
TMEM159,57146,0.179471,0.431979,0.415462,,,,,,,
TMEM91,641649,0.179248,0.439077,0.408238,,,,,,,
SYNPO,11346,0.179164,0.573782,0.312251,,,,,,,
HS3ST1,9957,0.179009,0.496613,0.360459,,,,,,,
GRM1,2911,0.17871,0.445473,0.401169,X,X,,,,,
CSRNP3,80034,0.178319,0.434506,0.410395,,,,,,,
ANK1,286,0.178317,0.361257,0.493601,,,X,X,X,X,X
