"MGI.symbol" "WikiGene.NaNme" "EntrezGene.ID" "HGNC.symbol" "EntrezGene.ID.1"
"77" "Pcdha10" "Pcdha4" 116731 "PCDHAC2" 56134
"78" "Pcdha10" "Pcdha11" 116731 "PCDHAC2" 56134
"79" "Pcdha10" "Pcdha10" 116731 "PCDHAC2" 56134
"80" "Pcdha10" "Pcdha1" 116731 "PCDHAC2" 56134
"81" "Pcdha10" "Pcdha9" 116731 "PCDHAC2" 56134
"82" "Pcdha10" "Pcdha12" 116731 "PCDHAC2" 56134
"83" "Pcdha10" "Pcdha2" 116731 "PCDHAC2" 56134
"84" "Pcdha10" "Pcdhac1" 116731 "PCDHAC2" 56134
"85" "Pcdha10" "Pcdhac2" 116731 "PCDHAC2" 56134
"86" "Pcdha11" "Pcdha4" 116731 "PCDHAC2" 56134
"87" "Pcdha11" "Pcdha11" 116731 "PCDHAC2" 56134
"88" "Pcdha11" "Pcdha10" 116731 "PCDHAC2" 56134
"89" "Pcdha11" "Pcdha1" 116731 "PCDHAC2" 56134
"90" "Pcdha11" "Pcdha9" 116731 "PCDHAC2" 56134
"91" "Pcdha11" "Pcdha12" 116731 "PCDHAC2" 56134
"92" "Pcdha11" "Pcdha2" 116731 "PCDHAC2" 56134
"93" "Pcdha11" "Pcdhac1" 116731 "PCDHAC2" 56134
"94" "Pcdha11" "Pcdhac2" 116731 "PCDHAC2" 56134
"95" "Pcdha12" "Pcdha4" 116731 "PCDHAC2" 56134
"96" "Pcdha12" "Pcdha11" 116731 "PCDHAC2" 56134
"97" "Pcdha12" "Pcdha10" 116731 "PCDHAC2" 56134
"98" "Pcdha12" "Pcdha1" 116731 "PCDHAC2" 56134
"99" "Pcdha12" "Pcdha9" 116731 "PCDHAC2" 56134
"100" "Pcdha12" "Pcdha12" 116731 "PCDHAC2" 56134
"101" "Pcdha12" "Pcdha2" 116731 "PCDHAC2" 56134
"102" "Pcdha12" "Pcdhac1" 116731 "PCDHAC2" 56134
"103" "Pcdha12" "Pcdhac2" 116731 "PCDHAC2" 56134
"104" "Pcdha2" "Pcdha4" 116731 "PCDHAC2" 56134
"105" "Pcdha2" "Pcdha11" 116731 "PCDHAC2" 56134
"106" "Pcdha2" "Pcdha10" 116731 "PCDHAC2" 56134
"107" "Pcdha2" "Pcdha1" 116731 "PCDHAC2" 56134
"108" "Pcdha2" "Pcdha9" 116731 "PCDHAC2" 56134
"109" "Pcdha2" "Pcdha12" 116731 "PCDHAC2" 56134
"110" "Pcdha2" "Pcdha2" 116731 "PCDHAC2" 56134
"111" "Pcdha2" "Pcdhac1" 116731 "PCDHAC2" 56134
"112" "Pcdha2" "Pcdhac2" 116731 "PCDHAC2" 56134
"113" "Pcdha4" "Pcdha4" 116731 "PCDHAC2" 56134
"114" "Pcdha4" "Pcdha11" 116731 "PCDHAC2" 56134
"115" "Pcdha4" "Pcdha10" 116731 "PCDHAC2" 56134
"116" "Pcdha4" "Pcdha1" 116731 "PCDHAC2" 56134
"117" "Pcdha4" "Pcdha9" 116731 "PCDHAC2" 56134
"118" "Pcdha4" "Pcdha12" 116731 "PCDHAC2" 56134
"119" "Pcdha4" "Pcdha2" 116731 "PCDHAC2" 56134
"120" "Pcdha4" "Pcdhac1" 116731 "PCDHAC2" 56134
"121" "Pcdha4" "Pcdhac2" 116731 "PCDHAC2" 56134
"122" "Pcdha5" "Pcdha4" 116731 "PCDHAC2" 56134
"123" "Pcdha5" "Pcdha11" 116731 "PCDHAC2" 56134
"124" "Pcdha5" "Pcdha10" 116731 "PCDHAC2" 56134
"125" "Pcdha5" "Pcdha1" 116731 "PCDHAC2" 56134
"126" "Pcdha5" "Pcdha9" 116731 "PCDHAC2" 56134
"127" "Pcdha5" "Pcdha12" 116731 "PCDHAC2" 56134
"128" "Pcdha5" "Pcdha2" 116731 "PCDHAC2" 56134
"129" "Pcdha5" "Pcdhac1" 116731 "PCDHAC2" 56134
"130" "Pcdha5" "Pcdhac2" 116731 "PCDHAC2" 56134
"131" "Pcdhac1" "Pcdha4" 116731 "PCDHAC2" 56134
"132" "Pcdhac1" "Pcdha11" 116731 "PCDHAC2" 56134
"133" "Pcdhac1" "Pcdha10" 116731 "PCDHAC2" 56134
"134" "Pcdhac1" "Pcdha1" 116731 "PCDHAC2" 56134
"135" "Pcdhac1" "Pcdha9" 116731 "PCDHAC2" 56134
"136" "Pcdhac1" "Pcdha12" 116731 "PCDHAC2" 56134
"137" "Pcdhac1" "Pcdha2" 116731 "PCDHAC2" 56134
"138" "Pcdhac1" "Pcdhac1" 116731 "PCDHAC2" 56134
"139" "Pcdhac1" "Pcdhac2" 116731 "PCDHAC2" 56134
"140" "Pcdhac2" "Pcdha4" 116731 "PCDHAC2" 56134
"141" "Pcdhac2" "Pcdha11" 116731 "PCDHAC2" 56134
"142" "Pcdhac2" "Pcdha10" 116731 "PCDHAC2" 56134
"143" "Pcdhac2" "Pcdha1" 116731 "PCDHAC2" 56134
"144" "Pcdhac2" "Pcdha9" 116731 "PCDHAC2" 56134
"145" "Pcdhac2" "Pcdha12" 116731 "PCDHAC2" 56134
"146" "Pcdhac2" "Pcdha2" 116731 "PCDHAC2" 56134
"147" "Pcdhac2" "Pcdhac1" 116731 "PCDHAC2" 56134
"148" "Pcdhac2" "Pcdhac2" 116731 "PCDHAC2" 56134
"149" "Pcdha9" "Pcdha4" 116731 "PCDHAC2" 56134
"150" "Pcdha9" "Pcdha11" 116731 "PCDHAC2" 56134
"151" "Pcdha9" "Pcdha10" 116731 "PCDHAC2" 56134
"152" "Pcdha9" "Pcdha1" 116731 "PCDHAC2" 56134
"153" "Pcdha9" "Pcdha9" 116731 "PCDHAC2" 56134
"154" "Pcdha9" "Pcdha12" 116731 "PCDHAC2" 56134
"155" "Pcdha9" "Pcdha2" 116731 "PCDHAC2" 56134
"156" "Pcdha9" "Pcdhac1" 116731 "PCDHAC2" 56134
"157" "Pcdha9" "Pcdhac2" 116731 "PCDHAC2" 56134
"158" "Pcdha1" "Pcdha4" 12936 "PCDHAC2" 56134
"159" "Pcdha1" "Pcdha11" 12936 "PCDHAC2" 56134
"160" "Pcdha1" "Pcdha10" 12936 "PCDHAC2" 56134
"161" "Pcdha1" "Pcdha1" 12936 "PCDHAC2" 56134
"162" "Pcdha1" "Pcdha9" 12936 "PCDHAC2" 56134
"163" "Pcdha1" "Pcdha12" 12936 "PCDHAC2" 56134
"164" "Pcdha1" "Pcdha2" 12936 "PCDHAC2" 56134
"165" "Pcdha1" "Pcdhac1" 12936 "PCDHAC2" 56134
"166" "Pcdha1" "Pcdhac2" 12936 "PCDHAC2" 56134
"167" "Pcdha10" "Pcdha4" 12936 "PCDHAC2" 56134
"168" "Pcdha10" "Pcdha11" 12936 "PCDHAC2" 56134
"169" "Pcdha10" "Pcdha10" 12936 "PCDHAC2" 56134
"170" "Pcdha10" "Pcdha1" 12936 "PCDHAC2" 56134
"171" "Pcdha10" "Pcdha9" 12936 "PCDHAC2" 56134
"172" "Pcdha10" "Pcdha12" 12936 "PCDHAC2" 56134
"173" "Pcdha10" "Pcdha2" 12936 "PCDHAC2" 56134
"174" "Pcdha10" "Pcdhac1" 12936 "PCDHAC2" 56134
"175" "Pcdha10" "Pcdhac2" 12936 "PCDHAC2" 56134
"176" "Pcdha11" "Pcdha4" 12936 "PCDHAC2" 56134
"177" "Pcdha11" "Pcdha11" 12936 "PCDHAC2" 56134
"178" "Pcdha11" "Pcdha10" 12936 "PCDHAC2" 56134
"179" "Pcdha11" "Pcdha1" 12936 "PCDHAC2" 56134
"180" "Pcdha11" "Pcdha9" 12936 "PCDHAC2" 56134
"181" "Pcdha11" "Pcdha12" 12936 "PCDHAC2" 56134
"182" "Pcdha11" "Pcdha2" 12936 "PCDHAC2" 56134
"183" "Pcdha11" "Pcdhac1" 12936 "PCDHAC2" 56134
"184" "Pcdha11" "Pcdhac2" 12936 "PCDHAC2" 56134
"185" "Pcdha12" "Pcdha4" 12936 "PCDHAC2" 56134
"186" "Pcdha12" "Pcdha11" 12936 "PCDHAC2" 56134
"187" "Pcdha12" "Pcdha10" 12936 "PCDHAC2" 56134
"188" "Pcdha12" "Pcdha1" 12936 "PCDHAC2" 56134
"189" "Pcdha12" "Pcdha9" 12936 "PCDHAC2" 56134
"190" "Pcdha12" "Pcdha12" 12936 "PCDHAC2" 56134
"191" "Pcdha12" "Pcdha2" 12936 "PCDHAC2" 56134
"192" "Pcdha12" "Pcdhac1" 12936 "PCDHAC2" 56134
"193" "Pcdha12" "Pcdhac2" 12936 "PCDHAC2" 56134
"194" "Pcdha2" "Pcdha4" 12936 "PCDHAC2" 56134
"195" "Pcdha2" "Pcdha11" 12936 "PCDHAC2" 56134
"196" "Pcdha2" "Pcdha10" 12936 "PCDHAC2" 56134
"197" "Pcdha2" "Pcdha1" 12936 "PCDHAC2" 56134
"198" "Pcdha2" "Pcdha9" 12936 "PCDHAC2" 56134
"199" "Pcdha2" "Pcdha12" 12936 "PCDHAC2" 56134
"200" "Pcdha2" "Pcdha2" 12936 "PCDHAC2" 56134
"201" "Pcdha2" "Pcdhac1" 12936 "PCDHAC2" 56134
"202" "Pcdha2" "Pcdhac2" 12936 "PCDHAC2" 56134
"203" "Pcdha4" "Pcdha4" 12936 "PCDHAC2" 56134
"204" "Pcdha4" "Pcdha11" 12936 "PCDHAC2" 56134
"205" "Pcdha4" "Pcdha10" 12936 "PCDHAC2" 56134
"206" "Pcdha4" "Pcdha1" 12936 "PCDHAC2" 56134
"207" "Pcdha4" "Pcdha9" 12936 "PCDHAC2" 56134
"208" "Pcdha4" "Pcdha12" 12936 "PCDHAC2" 56134
"209" "Pcdha4" "Pcdha2" 12936 "PCDHAC2" 56134
"210" "Pcdha4" "Pcdhac1" 12936 "PCDHAC2" 56134
"211" "Pcdha4" "Pcdhac2" 12936 "PCDHAC2" 56134
"212" "Pcdha5" "Pcdha4" 12936 "PCDHAC2" 56134
"213" "Pcdha5" "Pcdha11" 12936 "PCDHAC2" 56134
"214" "Pcdha5" "Pcdha10" 12936 "PCDHAC2" 56134
"215" "Pcdha5" "Pcdha1" 12936 "PCDHAC2" 56134
"216" "Pcdha5" "Pcdha9" 12936 "PCDHAC2" 56134
"217" "Pcdha5" "Pcdha12" 12936 "PCDHAC2" 56134
"218" "Pcdha5" "Pcdha2" 12936 "PCDHAC2" 56134
"219" "Pcdha5" "Pcdhac1" 12936 "PCDHAC2" 56134
"220" "Pcdha5" "Pcdhac2" 12936 "PCDHAC2" 56134
"221" "Pcdhac1" "Pcdha4" 12936 "PCDHAC2" 56134
"222" "Pcdhac1" "Pcdha11" 12936 "PCDHAC2" 56134
"223" "Pcdhac1" "Pcdha10" 12936 "PCDHAC2" 56134
"224" "Pcdhac1" "Pcdha1" 12936 "PCDHAC2" 56134
"225" "Pcdhac1" "Pcdha9" 12936 "PCDHAC2" 56134
"226" "Pcdhac1" "Pcdha12" 12936 "PCDHAC2" 56134
"227" "Pcdhac1" "Pcdha2" 12936 "PCDHAC2" 56134
"228" "Pcdhac1" "Pcdhac1" 12936 "PCDHAC2" 56134
"229" "Pcdhac1" "Pcdhac2" 12936 "PCDHAC2" 56134
"230" "Pcdhac2" "Pcdha4" 12936 "PCDHAC2" 56134
"231" "Pcdhac2" "Pcdha11" 12936 "PCDHAC2" 56134
"232" "Pcdhac2" "Pcdha10" 12936 "PCDHAC2" 56134
"233" "Pcdhac2" "Pcdha1" 12936 "PCDHAC2" 56134
"234" "Pcdhac2" "Pcdha9" 12936 "PCDHAC2" 56134
"235" "Pcdhac2" "Pcdha12" 12936 "PCDHAC2" 56134
"236" "Pcdhac2" "Pcdha2" 12936 "PCDHAC2" 56134
"237" "Pcdhac2" "Pcdhac1" 12936 "PCDHAC2" 56134
"238" "Pcdhac2" "Pcdhac2" 12936 "PCDHAC2" 56134
"239" "Pcdha9" "Pcdha4" 12936 "PCDHAC2" 56134
"240" "Pcdha9" "Pcdha11" 12936 "PCDHAC2" 56134
"241" "Pcdha9" "Pcdha10" 12936 "PCDHAC2" 56134
"242" "Pcdha9" "Pcdha1" 12936 "PCDHAC2" 56134
"243" "Pcdha9" "Pcdha9" 12936 "PCDHAC2" 56134
"244" "Pcdha9" "Pcdha12" 12936 "PCDHAC2" 56134
"245" "Pcdha9" "Pcdha2" 12936 "PCDHAC2" 56134
"246" "Pcdha9" "Pcdhac1" 12936 "PCDHAC2" 56134
"247" "Pcdha9" "Pcdhac2" 12936 "PCDHAC2" 56134
"248" "Pcdha1" "Pcdha4" 12942 "PCDHAC2" 56134
"249" "Pcdha1" "Pcdha11" 12942 "PCDHAC2" 56134
"250" "Pcdha1" "Pcdha10" 12942 "PCDHAC2" 56134
"251" "Pcdha1" "Pcdha1" 12942 "PCDHAC2" 56134
"252" "Pcdha1" "Pcdha9" 12942 "PCDHAC2" 56134
"253" "Pcdha1" "Pcdha12" 12942 "PCDHAC2" 56134
"254" "Pcdha1" "Pcdha2" 12942 "PCDHAC2" 56134
"255" "Pcdha1" "Pcdhac1" 12942 "PCDHAC2" 56134
"256" "Pcdha1" "Pcdhac2" 12942 "PCDHAC2" 56134
"257" "Pcdha10" "Pcdha4" 12942 "PCDHAC2" 56134
"258" "Pcdha10" "Pcdha11" 12942 "PCDHAC2" 56134
"259" "Pcdha10" "Pcdha10" 12942 "PCDHAC2" 56134
"260" "Pcdha10" "Pcdha1" 12942 "PCDHAC2" 56134
"261" "Pcdha10" "Pcdha9" 12942 "PCDHAC2" 56134
"262" "Pcdha10" "Pcdha12" 12942 "PCDHAC2" 56134
"263" "Pcdha10" "Pcdha2" 12942 "PCDHAC2" 56134
"264" "Pcdha10" "Pcdhac1" 12942 "PCDHAC2" 56134
"265" "Pcdha10" "Pcdhac2" 12942 "PCDHAC2" 56134
"266" "Pcdha11" "Pcdha4" 12942 "PCDHAC2" 56134
"267" "Pcdha11" "Pcdha11" 12942 "PCDHAC2" 56134
"268" "Pcdha11" "Pcdha10" 12942 "PCDHAC2" 56134
"269" "Pcdha11" "Pcdha1" 12942 "PCDHAC2" 56134
"270" "Pcdha11" "Pcdha9" 12942 "PCDHAC2" 56134
"271" "Pcdha11" "Pcdha12" 12942 "PCDHAC2" 56134
"272" "Pcdha11" "Pcdha2" 12942 "PCDHAC2" 56134
"273" "Pcdha11" "Pcdhac1" 12942 "PCDHAC2" 56134
"274" "Pcdha11" "Pcdhac2" 12942 "PCDHAC2" 56134
"275" "Pcdha12" "Pcdha4" 12942 "PCDHAC2" 56134
"276" "Pcdha12" "Pcdha11" 12942 "PCDHAC2" 56134
"277" "Pcdha12" "Pcdha10" 12942 "PCDHAC2" 56134
"278" "Pcdha12" "Pcdha1" 12942 "PCDHAC2" 56134
"279" "Pcdha12" "Pcdha9" 12942 "PCDHAC2" 56134
"280" "Pcdha12" "Pcdha12" 12942 "PCDHAC2" 56134
"281" "Pcdha12" "Pcdha2" 12942 "PCDHAC2" 56134
"282" "Pcdha12" "Pcdhac1" 12942 "PCDHAC2" 56134
"283" "Pcdha12" "Pcdhac2" 12942 "PCDHAC2" 56134
"284" "Pcdha2" "Pcdha4" 12942 "PCDHAC2" 56134
"285" "Pcdha2" "Pcdha11" 12942 "PCDHAC2" 56134
"286" "Pcdha2" "Pcdha10" 12942 "PCDHAC2" 56134
"287" "Pcdha2" "Pcdha1" 12942 "PCDHAC2" 56134
"288" "Pcdha2" "Pcdha9" 12942 "PCDHAC2" 56134
"289" "Pcdha2" "Pcdha12" 12942 "PCDHAC2" 56134
"290" "Pcdha2" "Pcdha2" 12942 "PCDHAC2" 56134
"291" "Pcdha2" "Pcdhac1" 12942 "PCDHAC2" 56134
"292" "Pcdha2" "Pcdhac2" 12942 "PCDHAC2" 56134
"293" "Pcdha4" "Pcdha4" 12942 "PCDHAC2" 56134
"294" "Pcdha4" "Pcdha11" 12942 "PCDHAC2" 56134
"295" "Pcdha4" "Pcdha10" 12942 "PCDHAC2" 56134
"296" "Pcdha4" "Pcdha1" 12942 "PCDHAC2" 56134
"297" "Pcdha4" "Pcdha9" 12942 "PCDHAC2" 56134
"298" "Pcdha4" "Pcdha12" 12942 "PCDHAC2" 56134
"299" "Pcdha4" "Pcdha2" 12942 "PCDHAC2" 56134
"300" "Pcdha4" "Pcdhac1" 12942 "PCDHAC2" 56134
"301" "Pcdha4" "Pcdhac2" 12942 "PCDHAC2" 56134
"302" "Pcdha5" "Pcdha4" 12942 "PCDHAC2" 56134
"303" "Pcdha5" "Pcdha11" 12942 "PCDHAC2" 56134
"304" "Pcdha5" "Pcdha10" 12942 "PCDHAC2" 56134
"305" "Pcdha5" "Pcdha1" 12942 "PCDHAC2" 56134
"306" "Pcdha5" "Pcdha9" 12942 "PCDHAC2" 56134
"307" "Pcdha5" "Pcdha12" 12942 "PCDHAC2" 56134
"308" "Pcdha5" "Pcdha2" 12942 "PCDHAC2" 56134
"309" "Pcdha5" "Pcdhac1" 12942 "PCDHAC2" 56134
"310" "Pcdha5" "Pcdhac2" 12942 "PCDHAC2" 56134
"311" "Pcdhac1" "Pcdha4" 12942 "PCDHAC2" 56134
"312" "Pcdhac1" "Pcdha11" 12942 "PCDHAC2" 56134
"313" "Pcdhac1" "Pcdha10" 12942 "PCDHAC2" 56134
"314" "Pcdhac1" "Pcdha1" 12942 "PCDHAC2" 56134
"315" "Pcdhac1" "Pcdha9" 12942 "PCDHAC2" 56134
"316" "Pcdhac1" "Pcdha12" 12942 "PCDHAC2" 56134
"317" "Pcdhac1" "Pcdha2" 12942 "PCDHAC2" 56134
"318" "Pcdhac1" "Pcdhac1" 12942 "PCDHAC2" 56134
"319" "Pcdhac1" "Pcdhac2" 12942 "PCDHAC2" 56134
"320" "Pcdhac2" "Pcdha4" 12942 "PCDHAC2" 56134
"321" "Pcdhac2" "Pcdha11" 12942 "PCDHAC2" 56134
"322" "Pcdhac2" "Pcdha10" 12942 "PCDHAC2" 56134
"323" "Pcdhac2" "Pcdha1" 12942 "PCDHAC2" 56134
"324" "Pcdhac2" "Pcdha9" 12942 "PCDHAC2" 56134
"325" "Pcdhac2" "Pcdha12" 12942 "PCDHAC2" 56134
"326" "Pcdhac2" "Pcdha2" 12942 "PCDHAC2" 56134
"327" "Pcdhac2" "Pcdhac1" 12942 "PCDHAC2" 56134
"328" "Pcdhac2" "Pcdhac2" 12942 "PCDHAC2" 56134
"329" "Pcdha9" "Pcdha4" 12942 "PCDHAC2" 56134
"330" "Pcdha9" "Pcdha11" 12942 "PCDHAC2" 56134
"331" "Pcdha9" "Pcdha10" 12942 "PCDHAC2" 56134
"332" "Pcdha9" "Pcdha1" 12942 "PCDHAC2" 56134
"333" "Pcdha9" "Pcdha9" 12942 "PCDHAC2" 56134
"334" "Pcdha9" "Pcdha12" 12942 "PCDHAC2" 56134
"335" "Pcdha9" "Pcdha2" 12942 "PCDHAC2" 56134
"336" "Pcdha9" "Pcdhac1" 12942 "PCDHAC2" 56134
"337" "Pcdha9" "Pcdhac2" 12942 "PCDHAC2" 56134
"338" "D3Bwg0562e" "D3Bwg0562e" 229791 "" 9890
"339" "Kcnq5" "Kcnq5" 226922 "KCNQ5" 56479
"340" "Ptprk" "Ptprk" 19272 "PTPRK" 5796
"341" "Rgs4" "Rgs4" 19736 "RGS4" 5999
"342" "Sema3c" "Sema3c" 20348 "SEMA3C" 10512
"343" "Lmo7" "Lmo7" 380928 "LMO7" 4008
"344" "Prdm8" "Prdm8" 77630 "PRDM8" 56978
"345" "Ablim3" "Ablim3" 319713 "ABLIM3" 22885
"346" "Kcnq2" "Kcnq2" 16536 "KCNQ2" 3785
"347" "Rhov" "Rhov" 228543 "RHOV" 171177
"348" "Ldb2" "Ldb2" 16826 "LDB2" 9079
"349" "Elavl2" "Elavl2" 15569 "ELAVL2" 1993
"350" "Spock1" "Spock1" 20745 "SPOCK1" 6695
"351" "Mal2" "Mal2" 105853 "MAL2" 114569
"352" "Cyb561" "Cyb561" 13056 "CYB561" 1534
"353" "Cdh8" "Cdh8" 12564 "CDH8" 1006
"354" "Gfra2" "Gfra2" 14586 "GFRA2" 2675
"355" "Gabrb3" "Gabrb3" 14402 "GABRB3" 2562
"356" "Diras2" "Diras2" 68203 "DIRAS2" 54769
"357" "Slc17a6" "Slc17a6" 140919 "SLC17A6" 57084
"358" "Col19a1" "Col19a1" 12823 "COL19A1" 1310
"359" "Ckmt1" "Ckmt1" 12716 "CKMT1A" 1159
"360" "Ckmt1" "Ckmt1" 12716 "CKMT1A" 548596
"361" "Grm7" "Grm7" 108073 "GRM7" 2917
"362" "Grm7" "Grm7" 108073 "GRM7" 100996542
"363" "Vsnl1" "Vsnl1" 26950 "VSNL1" 7447
"364" "Reln" "Reln" 19699 "RELN" 5649
"365" "L1cam" "L1cam" 16728 "L1CAM" 3897
"366" "Cnksr2" "Cnksr2" 245684 "CNKSR2" 22866
"367" "Mlip" "Mlip" 69642 "MLIP" 90523
"368" "Erc2" "Erc2" 238988 "ERC2" 26059
"369" "Rnf165" "Rnf165" 225743 "RNF165" 494470
"370" "Nefm" "Nefm" 18040 "NEFM" 4741
"371" "Olfm1" "Olfm1" 56177 "OLFM1" 10439
"372" "2010300C02Rik" "2010300C02Rik" 72097 "KIAA1211L" 343990
"373" "Dpp10" "Dpp10" 269109 "DPP10" 57628
"374" "Ntng1" "Ntng1" 80883 "NTNG1" 22854
"375" "Cep170b" "Cep170b" 217882 "CEP170B" 283638
"376" "Isl1" "Isl1" 16392 "ISL1" 3670
"377" "Syngr3" "Syngr3" 20974 "SYNGR3" 9143
"378" "Lamp5" "Lamp5" 76161 "LAMP5" 24141
"379" "Lpl" "Lpl" 16956 "LPL" 4023
"380" "Nrxn3" "Nrxn3" 18191 "NRXN3" 9369
"381" "Olfm3" "Olfm3" 229759 "OLFM3" 118427
"382" "St8sia4" "St8sia4" 20452 "ST8SIA4" 7903
"383" "Doc2a" "Doc2a" 13446 "DOC2A" 8448
"384" "Camta1" "Camta1" 100072 "CAMTA1" 23261
"385" "Plcxd3" "Plcxd3" 239318 "PLCXD3" 345557
"386" "Pde10a" "Pde10a" 23984 "PDE10A" 10846
"387" "Gabra5" "Gabra5" 110886 "GABRA5" 2558
"388" "Epha3" "Epha3" 13837 "EPHA3" 2042
"389" "Sstr2" "Sstr2" 20606 "SSTR2" 6752
"390" "Grin1" "Grin1" 14810 "GRIN1" 2902
"391" "Glra2" "Glra2" 237213 "GLRA2" 2742
"392" "Cdk5r1" "Cdk5r1" 12569 "CDK5R1" 8851
"393" "Slc32a1" "Slc32a1" 22348 "SLC32A1" 140679
"394" "Pgm2l1" "Pgm2l1" 70974 "PGM2L1" 283209
"395" "Epha7" "Epha7" 13841 "EPHA7" 2045
"396" "Chgb" "Chgb" 12653 "CHGB" 1114
"397" "Cckbr" "Cckbr" 12426 "CCKBR" 887
