Gene ID,Symbol,Name
4233,MET,"MET proto-oncogene, receptor tyrosine kinase"
51339,DACT1,dishevelled-binding antagonist of beta-catenin 1
10381,TUBB3,"tubulin, beta 3 class III"
6285,S100B,S100 calcium binding protein B
653464,SRGAP2C,SLIT-ROBO Rho GTPase activating protein 2C
151,ADRA2B,adrenoceptor alpha 2B
152,ADRA2C,adrenoceptor alpha 2C
57498,KIDINS220,"kinase D-interacting substrate, 220kDa"
221336,BEND6,BEN domain containing 6
6299,SALL1,spalt-like transcription factor 1
53405,CLIC5,chloride intracellular channel 5
10398,MYL9,"myosin, light chain 9, regulatory"
57502,NLGN4X,"neuroligin 4, X-linked"
80031,SEMA6D,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D"
160,AP2A1,"adaptor-related protein complex 2, alpha 1 subunit"
161,AP2A2,"adaptor-related protein complex 2, alpha 2 subunit"
163,AP2B1,"adaptor-related protein complex 2, beta 1 subunit"
6311,ATXN2,ataxin 2
374946,DRAXIN,dorsal inhibitory axon guidance protein
342184,FMN1,formin 1
10417,SPON2,"spondin 2, extracellular matrix protein"
177,AGER,advanced glycosylation end product-specific receptor
57522,SRGAP1,SLIT-ROBO Rho GTPase activating protein 1
6324,SCN1B,"sodium channel, voltage gated, type I beta subunit"
182,JAG1,jagged 1
51384,WNT16,"wingless-type MMTV integration site family, member 16"
4282,MIF,macrophage migration inhibitory factor (glycosylation-inhibiting factor)
10427,SEC24B,SEC24 family member B
6334,SCN8A,"sodium channel, voltage gated, type VIII alpha subunit"
57534,MIB1,mindbomb E3 ubiquitin protein ligase 1
51393,TRPV2,"transient receptor potential cation channel, subfamily V, member 2"
2242,FES,"FES proto-oncogene, tyrosine kinase"
51399,TRAPPC4,trafficking protein particle complex 4
57549,IGSF9,"immunoglobulin superfamily, member 9"
2253,FGF8,fibroblast growth factor 8 (androgen-induced)
207,AKT1,v-akt murine thymoma viral oncogene homolog 1
8399,PLA2G10,"phospholipase A2, group X"
6352,CCL5,chemokine (C-C motif) ligand 5
2258,FGF13,fibroblast growth factor 13
57554,LRRC7,leucine rich repeat containing 7
2260,FGFR1,fibroblast growth factor receptor 1
4308,TRPM1,"transient receptor potential cation channel, subfamily M, member 1"
57556,SEMA6A,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A"
2261,FGFR3,fibroblast growth factor receptor 3
214,ALCAM,activated leukocyte cell adhesion molecule
2263,FGFR2,fibroblast growth factor receptor 2
8408,ULK1,unc-51 like autophagy activating kinase 1
4313,MMP2,matrix metallopeptidase 2
10458,BAIAP2,BAI1-associated protein 2
84189,SLITRK6,"SLIT and NTRK-like family, member 6"
157922,CAMSAP1,calmodulin regulated spectrin-associated protein 1
6372,CXCL6,chemokine (C-X-C motif) ligand 6
200933,FBXO45,F-box protein 45
10472,ZBTB18,zinc finger and BTB domain containing 18
2281,FKBP1B,"FK506 binding protein 1B, 12.6 kDa"
8428,STK24,serine/threonine kinase 24
57580,PREX1,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1"
238,ALK,anaplastic lymphoma receptor tyrosine kinase
6383,SDC2,syndecan 2
10479,SLC9A6,"solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6"
2288,FKBP4,"FK506 binding protein 4, 59kDa"
2290,FOXG1,forkhead box G1
6386,SDCBP,syndecan binding protein (syntenin)
6387,CXCL12,chemokine (C-X-C motif) ligand 12
10486,CAP2,"CAP, adenylate cyclase-associated protein, 2 (yeast)"
10487,CAP1,"CAP, adenylate cyclase-associated protein 1 (yeast)"
8440,NCK2,NCK adaptor protein 2
2297,FOXD1,forkhead box D1
2298,FOXD4,forkhead box D4
116986,AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
10494,STK25,serine/threonine kinase 25
2304,FOXE1,forkhead box E1
2306,FOXD2,forkhead box D2
10500,SEMA6C,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C"
6405,SEMA3F,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F"
55558,PLXNA3,plexin A3
10505,SEMA4F,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F"
51466,EVL,Enah/Vasp-like
10507,SEMA4D,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D"
57611,ISLR2,immunoglobulin superfamily containing leucine-rich repeat 2
10512,SEMA3C,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"
51473,DCDC2,doublecortin domain containing 2
274,BIN1,bridging integrator 1
219409,GSX1,GS homeobox 1
10519,CIB1,calcium and integrin binding 1 (calmyrin)
6424,SFRP4,secreted frizzled-related protein 4
57624,NYAP2,neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2
84249,PSD2,pleckstrin and Sec7 domain containing 2
22809,ATF5,activating transcription factor 5
57626,KLHL1,kelch-like family member 1
286,ANK1,"ankyrin 1, erythrocytic"
287,ANK2,"ankyrin 2, neuronal"
2335,FN1,fibronectin 1
288,ANK3,"ankyrin 3, node of Ranvier (ankyrin G)"
340260,UNCX,UNC homeobox
8482,SEMA7A,"semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group)"
10533,ATG7,autophagy related 7
22822,PHLDA1,"pleckstrin homology-like domain, family A, member 1"
256297,PTF1A,"pancreas specific transcription factor, 1a"
90410,IFT20,intraflagellar transport 20
6446,SGK1,serum/glucocorticoid regulated kinase 1
55607,PPP1R9A,"protein phosphatase 1, regulatory subunit 9A"
6456,SH3GL2,SH3-domain GRB2-like 2
80184,CEP290,centrosomal protein 290kDa
8506,CNTNAP1,contactin associated protein 1
8507,ENC1,ectodermal-neural cortex 1 (with BTB domain)
28988,DBNL,drebrin-like
170302,ARX,aristaless related homeobox
6464,SHC1,SHC (Src homology 2 domain containing) transforming protein 1
22849,CPEB3,cytoplasmic polyadenylation element binding protein 3
22850,ADNP2,ADNP homeobox 2
322,APBB1,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)"
323,APBB2,"amyloid beta (A4) precursor protein-binding, family B, member 2"
8515,ITGA10,"integrin, alpha 10"
324,APC,adenomatous polyposis coli
28996,HIPK2,homeodomain interacting protein kinase 2
22853,LMTK2,lemur tyrosine kinase 2
6469,SHH,sonic hedgehog
22854,NTNG1,netrin G1
6474,SHOX2,short stature homeobox 2
8522,GAS7,growth arrest-specific 7
10570,DPYSL4,dihydropyrimidinase-like 4
6477,SIAH1,siah E3 ubiquitin protein ligase 1
6478,SIAH2,siah E3 ubiquitin protein ligase 2
335,APOA1,apolipoprotein A-I
57679,ALS2,amyotrophic lateral sclerosis 2 (juvenile)
22865,SLITRK3,"SLIT and NTRK-like family, member 3"
22871,NLGN1,neuroligin 1
8536,CAMK1,calcium/calmodulin-dependent protein kinase I
57688,ZSWIM6,"zinc finger, SWIM-type containing 6"
57689,LRRC4C,leucine rich repeat containing 4C
2395,FXN,frataxin
347,APOD,apolipoprotein D
348,APOE,apolipoprotein E
282969,FUOM,fucose mutarotase
351,APP,amyloid beta (A4) precursor protein
6495,SIX1,SIX homeobox 1
8543,LMO4,LIM domain only 4
22882,ZHX2,zinc fingers and homeoboxes 2
6498,SKIL,SKI-like proto-oncogene
57698,KIAA1598,KIAA1598
355,FAS,Fas cell surface death receptor
22885,ABLIM3,"actin binding LIM protein family, member 3"
57704,GBA2,"glucosidase, beta (bile acid) 2"
6507,SLC1A3,"solute carrier family 1 (glial high affinity glutamate transporter), member 3"
282991,BLOC1S2,"biogenesis of lysosomal organelles complex-1, subunit 2"
80243,PREX2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
10611,PDLIM5,PDZ and LIM domain 5
22902,RUFY3,RUN and FYVE domain containing 3
374,AREG,amphiregulin
22903,BTBD3,BTB (POZ) domain containing 3
382,ARF6,ADP-ribosylation factor 6
8578,SCARF1,"scavenger receptor class F, member 1"
387,RHOA,ras homolog family member A
57731,SPTBN4,"spectrin, beta, non-erythrocytic 4"
6532,SLC6A4,"solute carrier family 6 (neurotransmitter transporter), member 4"
388,RHOB,ras homolog family member B
53637,S1PR5,sphingosine-1-phosphate receptor 5
389,RHOC,ras homolog family member C
391,RHOG,ras homolog family member G
393,ARHGAP4,Rho GTPase activating protein 4
396,ARHGDIA,Rho GDP dissociation inhibitor (GDI) alpha
27020,NPTN,neuroplastin
27022,FOXD3,forkhead box D3
92558,CCDC64,coiled-coil domain containing 64
27023,FOXB1,forkhead box B1
401,PHOX2A,paired-like homeobox 2a
403,ARL3,ADP-ribosylation factor-like 3
51604,PIGT,"phosphatidylinositol glycan anchor biosynthesis, class T"
80279,CDK5RAP3,CDK5 regulatory subunit associated protein 3
340371,NRBP2,nuclear receptor binding protein 2
4504,MT3,metallothionein 3
55704,CCDC88A,coiled-coil domain containing 88A
440730,TRIM67,tripartite motif containing 67
90527,DUOXA1,dual oxidase maturation factor 1
8609,KLF7,Kruppel-like factor 7 (ubiquitous)
100170841,C17orf96,chromosome 17 open reading frame 96
55714,TENM3,teneurin transmembrane protein 3
10660,LBX1,ladybird homeobox 1
389549,FEZF1,FEZ family zinc finger 1
22954,TRIM32,tripartite motif containing 32
63915,BLOC1S5,"biogenesis of lysosomal organelles complex-1, subunit 5, muted"
429,ASCL1,achaete-scute family bHLH transcription factor 1
80303,EFHD1,"EF-hand domain family, member D1"
10675,CSPG5,chondroitin sulfate proteoglycan 5 (neuroglycan C)
63923,TNN,tenascin N
10677,AVIL,advillin
63925,ZNF335,zinc finger protein 335
10678,B3GNT2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"
2487,FRZB,frizzled-related protein
27063,ANKRD1,ankyrin repeat domain 1 (cardiac muscle)
6585,SLIT1,slit homolog 1 (Drosophila)
8633,UNC5C,unc-5 homolog C (C. elegans)
6586,SLIT3,slit homolog 3 (Drosophila)
2492,FSHR,follicle stimulating hormone receptor
65981,CAPRIN2,caprin family member 2
55740,ENAH,enabled homolog (Drosophila)
6594,SMARCA1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
166336,PRICKLE2,prickle homolog 2 (Drosophila)
100133941,CD24,CD24 molecule
57795,BRINP2,bone morphogenetic protein/retinoic acid inducible neural-specific 2
51654,CDK5RAP1,CDK5 regulatory subunit associated protein 1
80326,WNT10A,"wingless-type MMTV integration site family, member 10A"
8648,NCOA1,nuclear receptor coactivator 1
6601,SMARCC2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2"
8650,NUMB,numb homolog (Drosophila)
55754,TMEM30A,transmembrane protein 30A
10699,CORIN,"corin, serine peptidase"
55755,CDK5RAP2,CDK5 regulatory subunit associated protein 2
6606,SMN1,"survival of motor neuron 1, telomeric"
63950,DMRTA2,DMRT-like family A2
463,ZFHX3,zinc finger homeobox 3
6607,SMN2,"survival of motor neuron 2, centromeric"
6608,SMO,"smoothened, frizzled class receptor"
27089,UQCRQ,"ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa"
466,ATF1,activating transcription factor 1
6616,SNAP25,"synaptosomal-associated protein, 25kDa"
474,ATOH1,atonal homolog 1 (Drosophila)
10716,TBR1,"T-box, brain, 1"
84446,BRSK1,BR serine/threonine kinase 1
84448,ABLIM2,"actin binding LIM protein family, member 2"
266727,MDGA1,MAM domain containing glycosylphosphatidylinositol anchor 1
51684,SUFU,suppressor of fused homolog (Drosophila)
63973,NEUROG2,neurogenin 2
2534,FYN,"FYN proto-oncogene, Src family tyrosine kinase"
8678,BECN1,"beclin 1, autophagy related"
2535,FZD2,frizzled class receptor 2
23017,FAIM2,Fas apoptotic inhibitory molecule 2
491,ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2"
23022,PALLD,"palladin, cytoskeletal associated protein"
23026,MYO16,myosin XVI
27124,INPP5J,inositol polyphosphate-5-phosphatase J
6647,SOD1,"superoxide dismutase 1, soluble"
23032,USP33,ubiquitin specific peptidase 33
51704,GPRC5B,"G protein-coupled receptor, class C, group 5, member B"
55800,SCN3B,"sodium channel, voltage gated, type III beta subunit"
6648,SOD2,"superoxide dismutase 2, mitochondrial"
2558,GABRA5,"gamma-aminobutyric acid (GABA) A receptor, alpha 5"
6654,SOS1,son of sevenless homolog 1 (Drosophila)
6655,SOS2,son of sevenless homolog 2 (Drosophila)
6656,SOX1,SRY (sex determining region Y)-box 1
10752,CHL1,cell adhesion molecule L1-like
2561,GABRB2,"gamma-aminobutyric acid (GABA) A receptor, beta 2"
6657,SOX2,SRY (sex determining region Y)-box 2
2562,GABRB3,"gamma-aminobutyric acid (GABA) A receptor, beta 3"
6658,SOX3,SRY (sex determining region Y)-box 3
6659,SOX4,SRY (sex determining region Y)-box 4
23043,TNIK,TRAF2 and NCK interacting kinase
6660,SOX5,SRY (sex determining region Y)-box 5
6662,SOX9,SRY (sex determining region Y)-box 9
6664,SOX11,SRY (sex determining region Y)-box 11
2570,GABRR2,"gamma-aminobutyric acid (GABA) A receptor, rho 2"
10769,PLK2,polo-like kinase 2
4627,MYH9,"myosin, heavy chain 9, non-muscle"
4628,MYH10,"myosin, heavy chain 10, non-muscle"
4629,MYH11,"myosin, heavy chain 11, smooth muscle"
84504,NKX6-2,NK6 homeobox 2
538,ATP7A,"ATPase, Cu++ transporting, alpha polypeptide"
51738,GHRL,ghrelin/obestatin prepropeptide
6683,SPAST,spastin
27164,SALL3,spalt-like transcription factor 3
4637,MYL6,"myosin, light chain 6, alkali, smooth muscle and non-muscle"
2596,GAP43,growth associated protein 43
23077,MYCBP2,"MYC binding protein 2, E3 ubiquitin protein ligase"
4646,MYO6,myosin VI
6695,SPOCK1,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1"
4647,MYO7A,myosin VIIA
6696,SPP1,secreted phosphoprotein 1
6697,SPR,"sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)"
4651,MYO10,myosin X
4653,MYOC,"myocilin, trabecular meshwork inducible glucocorticoid response"
391723,HELT,helt bHLH transcription factor
219699,UNC5B,unc-5 homolog B (C. elegans)
27185,DISC1,disrupted in schizophrenia 1
51761,ATP8A2,"ATPase, aminophospholipid transporter, class I, type 8A, member 2"
6708,SPTA1,"spectrin, alpha, erythrocytic 1"
6709,SPTAN1,"spectrin, alpha, non-erythrocytic 1"
6710,SPTB,"spectrin, beta, erythrocytic"
6711,SPTBN1,"spectrin, beta, non-erythrocytic 1"
6712,SPTBN2,"spectrin, beta, non-erythrocytic 2"
6714,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase"
23098,SARM1,sterile alpha and TIR motif containing 1
2619,GAS1,growth arrest-specific 1
573,BAG1,BCL2-associated athanogene
4669,NAGLU,"N-acetylglucosaminidase, alpha"
8766,RAB11A,"RAB11A, member RAS oncogene family"
575,ADGRB1,adhesion G protein-coupled receptor B1
2624,GATA2,GATA binding protein 2
2625,GATA3,GATA binding protein 3
4674,NAP1L2,nucleosome assembly protein 1-like 2
6722,SRF,serum response factor (c-fos serum response element-binding transcription factor)
23108,RAP1GAP2,RAP1 GTPase activating protein 2
582,BBS1,Bardet-Biedl syndrome 1
8775,NAPA,"N-ethylmaleimide-sensitive factor attachment protein, alpha"
23111,SPG20,spastic paraplegia 20 (Troyer syndrome)
64072,CDH23,cadherin-related 23
585,BBS4,Bardet-Biedl syndrome 4
4681,NBL1,"neuroblastoma 1, DAN family BMP antagonist"
23114,NFASC,neurofascin
4683,NBN,nibrin
4684,NCAM1,neural cell adhesion molecule 1
2636,GBX1,gastrulation brain homeobox 1
2637,GBX2,gastrulation brain homeobox 2
4685,NCAM2,neural cell adhesion molecule 2
4690,NCK1,NCK adaptor protein 1
23122,CLASP2,cytoplasmic linker associated protein 2
596,BCL2,B-cell CLL/lymphoma 2
4692,NDN,"necdin, melanoma antigen (MAGE) family member"
2647,BLOC1S1,"biogenesis of lysosomal organelles complex-1, subunit 1"
23129,PLXND1,plexin D1
604,BCL6,B-cell CLL/lymphoma 6
23136,EPB41L3,erythrocyte membrane protein band 4.1-like 3
2658,GDF2,growth differentiation factor 2
55906,ZC4H2,"zinc finger, C4H2 domain containing"
2664,GDI1,GDP dissociation inhibitor 1
10857,PGRMC1,progesterone receptor membrane component 1
8811,GALR2,galanin receptor 2
2668,GDNF,glial cell derived neurotrophic factor
2670,GFAP,glial fibrillary acidic protein
2672,GFI1,growth factor independent 1 transcription repressor
2674,GFRA1,GDNF family receptor alpha 1
23154,NCDN,neurochondrin
627,BDNF,brain-derived neurotrophic factor
2676,GFRA3,GDNF family receptor alpha 3
6774,STAT3,signal transducer and activator of transcription 3 (acute-phase response factor)
27255,CNTN6,contactin 6
23162,MAPK8IP3,mitogen-activated protein kinase 8 interacting protein 3
8828,NRP2,neuropilin 2
8829,NRP1,neuropilin 1
4734,NEDD4,"neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase"
639,PRDM1,"PR domain containing 1, with ZNF domain"
4735,SEPT2,septin 2
8831,SYNGAP1,synaptic Ras GTPase activating protein 1
8835,SOCS2,suppressor of cytokine signaling 2
64131,XYLT1,xylosyltransferase I
4741,NEFM,"neurofilament, medium polypeptide"
84612,PARD6B,par-6 family cell polarity regulator beta
6790,AURKA,aurora kinase A
4744,NEFH,"neurofilament, heavy polypeptide"
6792,CDKL5,cyclin-dependent kinase-like 5
2697,GJA1,"gap junction protein, alpha 1, 43kDa"
8842,PROM1,prominin 1
10890,RAB10,"RAB10, member RAS oncogene family"
650,BMP2,bone morphogenetic protein 2
6794,STK11,serine/threonine kinase 11
4747,NEFL,"neurofilament, light polypeptide"
652,BMP4,bone morphogenetic protein 4
653,BMP5,bone morphogenetic protein 5
654,BMP6,bone morphogenetic protein 6
8846,ALKBH1,"alkB, alkylation repair homolog 1 (E. coli)"
84623,KIRREL3,kin of IRRE like 3 (Drosophila)
655,BMP7,bone morphogenetic protein 7
6801,STRN,"striatin, calmodulin binding protein"
658,BMPR1B,"bone morphogenetic protein receptor, type IB"
659,BMPR2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
8851,CDK5R1,"cyclin-dependent kinase 5, regulatory subunit 1 (p35)"
4756,NEO1,neogenin 1
23189,KANK1,KN motif and ankyrin repeat domains 1
84628,NTNG2,netrin G2
4758,NEU1,sialidase 1 (lysosomal sialidase)
8854,ALDH1A2,"aldehyde dehydrogenase 1 family, member A2"
84631,SLITRK2,"SLIT and NTRK-like family, member 2"
663,BNIP2,BCL2/adenovirus E1B 19kDa interacting protein 2
23191,CYFIP1,cytoplasmic FMR1 interacting protein 1
285331,CCDC66,coiled-coil domain containing 66
4760,NEUROD1,neuronal differentiation 1
4761,NEUROD2,neuronal differentiation 2
27289,RND1,Rho family GTPase 1
6809,STX3,syntaxin 3
4762,NEUROG1,neurogenin 1
667,DST,dystonin
4763,NF1,neurofibromin 1
6812,STXBP1,syntaxin binding protein 1
8861,LDB1,LIM domain binding 1
283297,OR10A4,"olfactory receptor, family 10, subfamily A, member 4"
4781,NFIB,nuclear factor I/B
8877,SPHK1,sphingosine kinase 1
4784,NFIX,nuclear factor I/X (CCAAT-binding transcription factor)
2736,GLI2,GLI family zinc finger 2
2737,GLI3,GLI family zinc finger 3
8882,ZPR1,ZPR1 zinc finger
27319,BHLHE22,"basic helix-loop-helix family, member e22"
10938,EHD1,EH-domain containing 1
10939,AFG3L2,AFG3-like AAA ATPase 2
706,TSPO,translocator protein (18kDa)
8898,MTMR2,myotubularin related protein 2
27330,RPS6KA6,"ribosomal protein S6 kinase, 90kDa, polypeptide 6"
402117,VWC2L,von Willebrand factor C domain containing protein 2-like
4803,NGF,nerve growth factor (beta polypeptide)
4804,NGFR,nerve growth factor receptor
23242,COBL,cordon-bleu WH2 repeat protein
27339,PRPF19,pre-mRNA processing factor 19
84687,PPP1R9B,"protein phosphatase 1, regulatory subunit 9B"
8911,CACNA1I,"calcium channel, voltage-dependent, T type, alpha 1I subunit"
8912,CACNA1H,"calcium channel, voltage-dependent, T type, alpha 1H subunit"
8913,CACNA1G,"calcium channel, voltage-dependent, T type, alpha 1G subunit"
64211,LHX5,LIM homeobox 5
4821,NKX2-2,NK2 homeobox 2
2775,GNAO1,"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O"
2776,GNAQ,"guanine nucleotide binding protein (G protein), q polypeptide"
4825,NKX6-1,NK6 homeobox 1
221914,GPC2,glypican 2
4826,NNAT,neuronatin
64218,SEMA4A,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A"
2779,GNAT1,"guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1"
2780,GNAT2,"guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2"
8925,HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
64221,ROBO3,"roundabout, axon guidance receptor, homolog 3 (Drosophila)"
4830,NME1,NME/NM23 nucleoside diphosphate kinase 1
4831,NME2,NME/NM23 nucleoside diphosphate kinase 2
8928,FOXH1,forkhead box H1
8929,PHOX2B,paired-like homeobox 2b
6886,TAL1,T-cell acute lymphocytic leukemia 1
2792,GNGT1,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1"
137970,UNC5D,unc-5 homolog D (C. elegans)
2801,GOLGA2,golgin A2
4851,NOTCH1,notch 1
4852,NPY,neuropeptide Y
6900,CNTN2,contactin 2 (axonal)
4854,NOTCH3,notch 3
23287,AGTPBP1,ATP/GTP binding protein 1
6905,TBCE,tubulin folding cofactor E
11005,SPINK5,"serine peptidase inhibitor, Kazal type 5"
23294,ANKS1A,ankyrin repeat and sterile alpha motif domain containing 1A
6911,TBX6,T-box 6
2817,GPC1,glypican 1
4867,NPHP1,nephronophthisis 1 (juvenile)
773,CACNA1A,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit"
2823,GPM6A,glycoprotein M6A
775,CACNA1C,"calcium channel, voltage-dependent, L type, alpha 1C subunit"
23303,KIF13B,kinesin family member 13B
776,CACNA1D,"calcium channel, voltage-dependent, L type, alpha 1D subunit"
152330,CNTN4,contactin 4
23305,ACSL6,acyl-CoA synthetase long-chain family member 6
375567,VWC2,von Willebrand factor C domain containing 2
778,CACNA1F,"calcium channel, voltage-dependent, L type, alpha 1F subunit"
779,CACNA1S,"calcium channel, voltage-dependent, L type, alpha 1S subunit"
6925,TCF4,transcription factor 4
11021,RAB35,"RAB35, member RAS oncogene family"
782,CACNB1,"calcium channel, voltage-dependent, beta 1 subunit"
11023,VAX1,ventral anterior homeobox 1
783,CACNB2,"calcium channel, voltage-dependent, beta 2 subunit"
784,CACNB3,"calcium channel, voltage-dependent, beta 3 subunit"
8976,WASL,Wiskott-Aldrich syndrome-like
6929,TCF3,transcription factor 3
785,CACNB4,"calcium channel, voltage-dependent, beta 4 subunit"
23314,SATB2,SATB homeobox 2
23316,CUX2,cut-like homeobox 2
4884,NPTX1,neuronal pentraxin I
